Designator,Mid X,Mid Y,Layer,Rotation
"C1",58.725000,-31.000000,top,0.000000
"C2",58.725000,-22.000000,top,0.000000
"C3",45.000000,-22.000000,top,180.000000
"C4",38.725000,-26.500000,top,0.000000
"C5",30.725000,-41.500000,top,0.000000
"C6",52.725000,-47.500000,top,0.000000
"C7",52.725000,-51.000000,top,0.000000
"C8",45.225000,-55.500000,top,0.000000
"C9",58.725000,-26.275000,top,0.000000
"C10",25.775000,-41.500000,top,0.000000
"C11",20.500000,-41.500000,top,0.000000
"D1",45.265000,-39.500000,top,0.000000
"J1",65.000000,-39.325000,top,90.000000
"J2",56.960000,-14.500000,top,90.000000
"L1",61.850000,-55.500000,top,0.000000
"MK1",45.100000,-33.074000,top,0.000000
"R1",64.175000,-31.000000,top,0.000000
"R2",64.175000,-47.000000,top,0.000000
"R3",45.175000,-45.000000,top,0.000000
"R4",52.675000,-42.500000,top,0.000000
"R5",52.675000,-36.000000,top,0.000000
"R6",39.500000,-45.000000,top,0.000000
"R7",52.825000,-22.000000,top,0.000000
"R8",52.825000,-31.000000,top,0.000000
"R9",15.500000,-41.500000,top,0.000000
"S1",65.425000,-20.000000,top,90.000000
"S2",39.425000,-39.575000,top,0.000000
"SP1",51.460000,-63.500000,top,90.000000
"U1",22.250000,-25.260000,top,0.000000
"U2",52.600000,-55.400000,top,0.000000
"U3",52.935000,-26.435000,top,0.000000
"U4",45.315000,-26.450000,top,0.000000
"U5",52.525000,-39.250000,top,0.000000
