Designator,Mid X,Mid Y,Rotation,Layer
C1,58.725,-31.0,0.0,top
C10,26.7,-42.0,0.0,top
C11,21.425,-42.0,0.0,top
C12,64.0,-14.775,90.0,top
C2,58.725,-22.0,0.0,top
C3,45.0,-22.0,180.0,top
C4,38.149252,-24.548329,90.0,top
C5,31.65,-42.0,0.0,top
C6,52.725,-59.0,0.0,top
C7,57.725,-59.0,0.0,top
C8,45.225,-55.5,0.0,top
C9,58.725,-26.275,0.0,top
D1,45.265,-39.5,0.0,top
J1,65.0,-39.325,90.0,top
L1,61.0,-53.5,0.0,top
MK1,45.1,-33.074,0.0,top
R1,64.175,-31.0,0.0,top
R2,64.175,-47.0,0.0,top
R3,45.175,-45.0,0.0,top
R4,52.5,-56.0,0.0,top
R5,52.5,-49.0,0.0,top
R6,39.5,-45.0,0.0,top
R7,52.825,-22.0,0.0,top
R8,52.825,-31.0,0.0,top
R9,16.425,-42.0,0.0,top
S1,65.425,-20.0,90.0,top
S2,39.425,-39.575,0.0,top
S3,37.425,-28.575,180.0,top
U1,23.75,-25.51,0.0,top
U2,52.6,-63.4,0.0,top
U3,52.935,-26.435,0.0,top
U4,45.315,-26.45,180.0,top
U5,52.5,-52.5,0.0,top
