Designator,Mid X,Mid Y,Rotation,Layer
C1,22.725,-15.75,0.0,top
C2,19.644788,-26.827482,270.0,top
C3,24.5,-24.0,0.0,top
C4,29.877489,-20.50461,0.0,top
C5,31.75,-24.525,90.0,top
C6,32.75,-20.25,180.0,top
C7,48.75,-29.25,0.0,top
C8,23.0,-28.75,0.0,top
C9,26.275,-29.0,0.0,top
D1,38.735,-30.75,180.0,top
J1,13.33,-17.425,270.0,top
J2,15.25,-26.55,270.0,top
MK1,21.6,-34.824,0.0,top
R1,22.24,-13.0,0.0,top
R2,19.25,-24.01,270.0,top
R3,22.732209,-18.564488,90.0,top
R4,21.500905,-18.567004,90.0,top
R5,24.232209,-18.584488,90.0,top
R6,46.0,-29.25,180.0,top
R7,32.25,-29.26,90.0,top
R8,37.74,-28.75,180.0,top
S1,27.825,-16.0,270.0,top
S2,32.175,-32.075,0.0,top
S3,32.75,-15.55,180.0,top
SP1,22.0,-44.475,0.0,top
U1,21.45,-21.3,90.0,top
U2,29.05,-24.435,270.0,top
U3,43.45,-17.225,0.0,top
U4,26.35,-33.65,0.0,top
